"network","station_id","winter_year","month","n_days","mean_temp_c","mean_daily_min_c","mean_daily_max_c","min_temp_c","total_precip_mm","warm_fail","short","station_name","elevation_m"
"BCWS","421",2009,1,31,-7.44,-10.75,-2.35,-20.8,35.2,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2009,2,28,-4.22,-8.25,2.18,-12.5,32,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2009,12,31,-10.83,-13.71,-6.84,-27.9,14.2,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2010,1,31,-4.91,-7.58,-0.76,-20,53.8,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2010,2,28,-2.29,-5.42,3.54,-10.8,18.2,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2010,12,31,-11.04,-14.41,-5.9,-24.5,9.2,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2011,1,31,-7.01,-10.21,-2.39,-23.2,71.4,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2011,2,28,-8.94,-13.34,-3.06,-28,42.2,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2011,12,20,-8.08,-10.73,-4.04,-21.8,7,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2012,1,31,-6.81,-10.07,-2.49,-20,17,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2012,2,29,-5.4,-8.77,0.07,-14,1.6,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2012,12,31,-6,-9.16,-0.71,-14,32.8,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2013,1,31,-6.54,-9.66,-1.23,-18.8,0,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2013,2,28,-3.05,-6.46,2.51,-11.7,1,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2013,12,31,-6.24,-8.56,-2.85,-13.6,1.8,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2014,1,31,-5.7,-8.56,-0.76,-17.4,26,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2014,2,28,-10.7,-15.16,-4.03,-27.7,9.2,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2014,12,31,-8.22,-11.41,-3.6,-28,14.8,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2015,1,31,-5.16,-8.27,-0.14,-18.3,39.6,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2015,2,2,-4.99,-7.45,-2.65,-8.8,1,FALSE,TRUE,"DEWAR CREEK",1608
"BCWS","421",2015,12,31,-6.52,-9.13,-2.47,-22.4,52.6,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","421",2016,12,29,-6.54,-8.73,-3.08,-16.3,12,FALSE,FALSE,"DEWAR CREEK",1608
"BCWS","401",1998,2,4,-2.96,-6.2,1.28,-8.4,0,FALSE,TRUE,"GOATFELL",1098
"BCWS","401",1999,1,31,-2.48,-4.87,0.21,-17,60.2,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",1999,2,28,-1.87,-4.36,1.18,-9.2,65,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",1999,12,31,-5.2,-7.32,-2.48,-20,61.6,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2000,1,22,-4.21,-6.74,-1.55,-13,8.3,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2000,2,19,-2.21,-5.17,1.53,-11.3,19.2,FALSE,TRUE,"GOATFELL",1098
"BCWS","401",2000,12,24,-2.52,-4.53,-0.34,-10,51.2,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2001,1,31,-3.77,-6.1,-0.69,-10.8,36.1,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2001,2,28,-4.48,-8.07,0.17,-16.3,21.1,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2001,12,31,-6.43,-8.95,-3.43,-18.4,14.7,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2002,1,27,-4.22,-6.65,-1.2,-14.7,47.4,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2002,2,28,-3.16,-6.55,1.39,-17.8,74.2,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2002,12,31,-5.24,-7.93,-2.18,-16.6,9.8,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2003,1,9,-2.79,-5.22,0.51,-13,49.3,FALSE,TRUE,"GOATFELL",1098
"BCWS","401",2003,12,13,-1.77,-3.32,0.09,-6.8,16,FALSE,TRUE,"GOATFELL",1098
"BCWS","401",2004,1,31,-3.79,-6.32,-0.43,-20,80.6,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2004,2,28,-1.77,-4.99,2.86,-13.2,26.1,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2004,12,31,-4.32,-7.23,-1.15,-16.1,35.2,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2005,1,10,-11.91,-14.32,-8.34,-17.4,0,FALSE,TRUE,"GOATFELL",1098
"BCWS","401",2005,12,19,-1.13,-3.02,0.86,-9.9,54.6,FALSE,TRUE,"GOATFELL",1098
"BCWS","401",2006,1,2,0.2,-0.85,1.2,-1.3,3.8,FALSE,TRUE,"GOATFELL",1098
"BCWS","401",2006,12,25,-7.56,-10.18,-3.72,-18.3,32.4,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2007,1,31,-6.32,-9.73,-2.01,-20.8,74.2,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2007,2,28,-1.78,-4.69,2.32,-10.8,50.2,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2007,12,31,-3.85,-6.37,0.14,-12.7,57.6,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2008,1,31,-6.01,-9.16,-2.17,-19.3,45,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2008,2,29,-1.39,-5.21,3.95,-9.6,54.2,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2008,12,31,-4.74,-7.38,-1.2,-15.4,71.4,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2009,1,31,-5.46,-8.91,-0.65,-19.3,69,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2009,2,28,-2.07,-5.93,4.12,-10.4,33,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2009,12,31,-8.52,-11.75,-4.66,-25.6,12.6,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2010,1,31,-2.21,-4.99,1.52,-18.2,62.4,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2010,2,28,0.29,-2.69,5.28,-9,18.6,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2010,12,31,-8.21,-11.26,-4.05,-23,49,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2011,1,31,-4.59,-7.72,-0.99,-21.2,87.4,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2011,2,28,-6.13,-10.86,-0.65,-26.9,44.2,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2011,12,31,-4.56,-7.4,-0.29,-19.9,104.2,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2012,1,31,-4.2,-7.62,0.35,-17,77.2,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2012,2,29,-2.73,-6.72,3.22,-14.4,37.6,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2012,12,26,-3.3,-6.07,1.24,-10.8,56.4,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2013,1,31,-4.66,-7.37,-0.14,-15.4,70.4,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2013,2,28,-1.2,-4.59,4,-8.5,28,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2013,12,31,-3.24,-5.34,-0.55,-10.4,56.4,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2014,1,31,-3.59,-6.35,0.81,-15.1,52.8,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2014,2,28,-7.5,-12.76,-1.08,-25,71.8,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2014,12,31,-6.13,-8.76,-2.58,-25.3,43.6,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2015,1,31,-3.41,-6.02,-0.57,-16.1,55.4,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2015,2,28,0.29,-2.6,3.73,-11.6,74.8,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2015,12,31,-3.7,-5.94,-0.96,-21.7,56.8,FALSE,FALSE,"GOATFELL",1098
"BCWS","401",2016,12,31,-3.49,-5.55,-0.78,-14.3,87.4,FALSE,FALSE,"GOATFELL",1098
"BCWS","392",1998,1,28,-2.88,-5,-0.57,-20,51.4,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",1998,2,1,-3.4,-3.4,-3.4,-3.4,0,FALSE,TRUE,"GRAND FORKS",630
"BCWS","392",1999,1,31,-1.55,-3.52,0.85,-11.5,59.8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",1999,2,28,0.1,-2.73,3.54,-10.4,33.9,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",1999,12,31,-3.33,-5.06,-1.25,-17.6,37.2,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2000,1,20,-4.36,-6.47,-1.88,-14.5,1.7,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2000,2,17,1.33,-1.86,7.03,-9.7,24.9,FALSE,TRUE,"GRAND FORKS",630
"BCWS","392",2000,12,26,-1.44,-2.82,0.39,-7.6,38.7,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2001,1,31,-3.33,-5.55,-0.68,-15,8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2001,2,28,-2.77,-6.47,1.73,-16.8,36.1,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2001,12,31,-5.98,-8.07,-3.34,-19.9,4,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2002,1,31,-2.67,-4.95,-0.04,-14.6,23.9,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2002,2,28,-1.12,-4.71,3.13,-12.2,28.9,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2002,12,31,-2.85,-5.26,-0.05,-12.6,37.3,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2003,1,31,-1.48,-2.73,0.22,-10.9,108.4,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2003,2,28,-0.77,-4.29,3.95,-12.7,12.6,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2003,12,31,-0.08,-1.6,1.71,-6.8,57.3,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2004,1,31,-4.11,-6.25,-1.89,-28.2,110.8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2004,2,29,-0.42,-3.23,3.49,-10.3,46.7,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2004,12,31,-3.3,-5.56,-0.69,-15.4,39.3,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2005,1,31,-5.17,-7.45,-2.92,-25.8,8.3,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2005,2,28,-1.19,-6.01,5.08,-10.8,0,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2005,12,31,-1.76,-3.67,0.22,-9.1,0.8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2006,1,31,0.47,-1.2,2.55,-5.5,40.2,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2006,2,28,-1.92,-6.12,3.1,-16.4,25.6,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2006,12,31,-6.82,-9.23,-4.02,-19.4,1.5,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2007,1,31,-6.41,-9.38,-2.8,-21.5,29.2,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2007,2,28,-0.56,-3.08,2.51,-14.7,38,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2007,12,31,-3.89,-6.34,-1,-14.4,17.8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2008,1,31,-5.6,-8.55,-2.56,-19.4,29.2,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2008,2,29,-0.48,-4.01,4.04,-11.6,16.2,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2008,12,31,-3.55,-6.07,-0.7,-14.9,33.8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2009,1,31,-6.05,-9.19,-2.14,-21.4,31.8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2009,2,28,-1.96,-5.39,2.79,-11.6,28.4,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2009,12,31,-7.43,-10.19,-4.56,-24.9,50.2,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2010,1,31,-0.7,-2.73,1.73,-13.1,32.8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2010,2,28,2.05,-0.87,5.9,-5.6,13.8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2010,12,31,-6.8,-9.74,-3.73,-19.9,38.4,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2011,1,31,-3.82,-6.09,-1.31,-18.6,38,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2011,2,28,-3.51,-7.5,0.93,-19.7,16,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2011,12,31,-2.48,-4.74,-0.23,-17.8,25.4,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2012,1,31,-5.05,-8.13,-1.85,-16.9,14,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2012,2,29,-1.88,-4.84,2.07,-13.6,33.6,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2012,12,31,-3.86,-6.7,-0.4,-13.4,14.4,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2013,1,31,-5.02,-7.29,-2,-16.4,21.2,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2013,2,28,0.18,-2.88,3.94,-7.4,11.6,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2013,12,31,-0.94,-2.76,1.15,-9.9,21.8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2014,1,31,-2.44,-4.93,0.76,-14,24.8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2014,2,28,-4.76,-8.86,0.24,-23.2,17.8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2014,12,31,-6.23,-8.48,-3.42,-20.9,25.8,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2015,1,31,-2.02,-3.6,0.1,-14.4,29.6,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2015,2,28,2.22,-1.13,6.77,-6.1,41.4,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2015,12,31,-2.31,-4.71,0.55,-16.5,33.4,FALSE,FALSE,"GRAND FORKS",630
"BCWS","392",2016,12,31,-1.82,-3.92,0.6,-13.4,53.4,FALSE,FALSE,"GRAND FORKS",630
"BCWS","407",1999,12,31,-6.82,-8.59,-4.64,-20,43.8,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2001,1,17,-5.22,-7.37,-1.82,-11.2,3.3,FALSE,TRUE,"NANCY GREENE",1397
"BCWS","407",2001,12,31,-7.53,-10.31,-4.03,-19.7,12.2,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2002,1,19,-4.02,-6.51,-1.21,-12.5,84.2,FALSE,TRUE,"NANCY GREENE",1397
"BCWS","407",2002,12,15,-7.95,-10.54,-3.93,-15.8,0.3,FALSE,TRUE,"NANCY GREENE",1397
"BCWS","407",2003,1,26,-3.94,-6.54,0.23,-12.9,77.6,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2003,2,11,-2.9,-6.79,3.41,-9.4,7.5,FALSE,TRUE,"NANCY GREENE",1397
"BCWS","407",2003,12,12,-2.98,-4.53,-0.77,-7.6,1.1,FALSE,TRUE,"NANCY GREENE",1397
"BCWS","407",2004,2,22,-1.85,-5.13,3.29,-9.3,34.5,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2004,12,15,-5.56,-8.94,-2.35,-13.5,0,FALSE,TRUE,"NANCY GREENE",1397
"BCWS","407",2005,1,31,-5.67,-8.78,-1.78,-20,41,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2005,2,28,-3.03,-8.04,3.98,-13.6,8.4,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2005,12,18,-3.76,-5.63,-1.41,-10.1,38.4,FALSE,TRUE,"NANCY GREENE",1397
"BCWS","407",2006,1,31,-2.99,-5.08,-0.28,-11,50.2,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2006,2,28,-5.6,-9.95,0.09,-22,61.4,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2006,12,31,-6.36,-9.03,-2.08,-17,60.8,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2007,1,31,-7.88,-11.49,-3.12,-21.5,36.4,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2007,2,28,-3.33,-6.49,0.71,-15.5,40.2,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2007,12,31,-5.51,-8.5,-1.2,-14.8,48.8,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2008,1,31,-6.7,-9.73,-2.75,-17.1,0.8,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2008,2,29,20.01,17.88,22.54,-2.4,46.2,TRUE,FALSE,"NANCY GREENE",1397
"BCWS","407",2008,12,31,-6.58,-9.41,-3.11,-15.8,54.2,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2009,1,31,-6.31,-10.06,-0.82,-21.8,29.3,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2009,2,28,-3.9,-7.96,2.04,-13.4,36.8,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2009,12,31,-9.98,-13.06,-6.38,-25.8,13.2,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2010,1,31,-3.22,-5.84,0.31,-14.1,62.4,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2010,2,28,-1.72,-4.75,3.1,-10.4,48.4,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2010,12,31,-9.13,-12.38,-4.55,-21.7,18,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2011,1,31,-6.06,-9.06,-2.25,-19.8,58.8,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2011,2,28,-7.45,-11.72,-2.22,-22.7,27.8,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2011,12,31,-5.43,-7.88,-2.15,-18.9,37,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2012,1,31,-6.66,-9.7,-3.01,-18.5,29,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2012,2,29,-4.48,-8.43,0.3,-17.5,31.6,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2012,12,31,-5.3,-8.39,-1.24,-13,35.4,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2013,1,31,-6.55,-9.53,-2.22,-16.8,33.8,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2013,2,28,-3.27,-6.56,1.14,-11.3,34.4,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2013,12,31,-5.27,-7.37,-2.98,-14.7,22.8,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2014,1,31,-4.15,-7.35,0.97,-16,32,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2014,2,28,-8.49,-12.82,-3.28,-22,29.4,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2014,12,31,-7.92,-10.52,-4.62,-23.6,31.8,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2015,1,31,-4.41,-7.45,-0.09,-16.7,48.2,FALSE,FALSE,"NANCY GREENE",1397
"BCWS","407",2015,2,28,-0.92,-4.04,3.12,-10,69.8,FALSE,FALSE,"NANCY GREENE",1397
